# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDuration90PMs,1716626833177000000,1716626893192000000,6.0
Indexes.allKeys.lookupDurationAvgMs,1716626833177000000,1716626893192000000,0.0
Indexes.allKeys.lookups,1716626833177000000,1716626893192000000,0.0
IndexesFlusher.totalFlushes,1716626833177000000,1716626893192000000,102
Indexes.entries.lookupDurationMaxMs,1716626833177000000,1716626893192000000,6.0
IndexesFlusher.totalFlushesRetried,1716626833177000000,1716626893192000000,2
Indexes.entries.lookupDurationAvgMs,1716626833177000000,1716626893192000000,1.2857142857142858
Indexes.stubs.lookupDurationAvgMs,1716626833177000000,1716626893192000000,3.7142857142857144
IndexesFlusher.totalContentionQuotaSpent,1716626833177000000,1716626893192000000,53
Indexes.stubs.lookups,1716626833177000000,1716626893192000000,28.0
VFSFlusher.totalFlushes,1716626833177000000,1716626893192000000,17
VFSFlusher.totalContentionQuotaSpent,1716626833177000000,1716626893192000000,0
Indexes.stubs.lookupDuration90PMs,1716626833177000000,1716626893192000000,25.0
VFSFlusher.totalFlushingTimeUs,1716626833177000000,1716626893192000000,107987
IndexesFlusher.totalFlushingTimeUs,1716626833177000000,1716626893192000000,1293877
VFSFlusher.totalFlushesRetried,1716626833177000000,1716626893192000000,0
Indexes.stubs.lookupDurationMaxMs,1716626833177000000,1716626893192000000,43.0
Indexes.allKeys.lookupDurationMaxMs,1716626833177000000,1716626893192000000,0.0
Indexes.allKeys.lookupDuration90PMs,1716626833177000000,1716626893192000000,0.0
Indexes.entries.lookups,1716626833177000000,1716626893192000000,7.0
FileNameCache.queries,1716626833177000000,1716626893192000000,21724
FileNameCache.fastMisses,1716626833177000000,1716626893192000000,449
FileNameCache.totalMisses,1716626833177000000,1716626893192000000,350
JVM.GC.collections,1716626833177000000,1716626893192000000,28
JVM.usedHeapBytes,1716626833177000000,1716626893192000000,299562912
JVM.threadCount,1716626833177000000,1716626893192000000,132
JVM.maxNativeBytes,1716626833177000000,1716626893192000000,-1
JVM.maxHeapBytes,1716626833177000000,1716626893192000000,2147483648
JVM.GC.collectionTimesMs,1716626833177000000,1716626893192000000,534
JVM.totalCpuTimeMs,1716626833177000000,1716626893192000000,69970
OS.loadAverage,1716626833177000000,1716626893192000000,5.1240234375
JVM.usedNativeBytes,1716626833177000000,1716626893192000000,363242592
FlushQueue.queueSize90P,1716626833177000000,1716626893192000000,38
FlushQueue.tasksExecuted,1716626833177000000,1716626893192000000,3000
FlushQueue.executionTime90PNs,1716626833177000000,1716626893192000000,724991
AWTEventQueue.dispatchTimeTotalNS,1716626833177000000,1716626893192000000,16603940645
FlushQueue.queueSizeMax,1716626833177000000,1716626893192000000,115
FlushQueue.waitingTimeMaxNs,1716626833177000000,1716626893192000000,3791650815
NonBlockingReadAction.finalizedExecutionsCount,1716626833177000000,1716626893192000000,115
NonBlockingReadAction.failedExecutionTimeUs,1716626833177000000,1716626893192000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1716626833177000000,1716626893192000000,2328600
FlushQueue.queueSizeAvg,1716626833177000000,1716626893192000000,12.193666666666667
FlushQueue.waitingTime90PNs,1716626833177000000,1716626893192000000,333447167
AWTEventQueue.dispatchTimeMaxNs,1716626833177000000,1716626893192000000,893386751
FlushQueue.executionTimeAvgNs,1716626833177000000,1716626893192000000,3680457.8266666667
AWTEventQueue.dispatchTime90PNs,1716626833177000000,1716626893192000000,511999
FlushQueue.executionTimeMaxNs,1716626833177000000,1716626893192000000,4278190079
NonBlockingReadAction.failedExecutionsCount,1716626833177000000,1716626893192000000,0
FlushQueue.waitingTimeAvgNs,1716626833177000000,1716626893192000000,1.2232630001333334E8
AWTEventQueue.dispatchTimeAvgNs,1716626833177000000,1716626893192000000,1250896.0536386922
AWTEventQueue.eventsDispatched,1716626833177000000,1716626893192000000,13274
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1716626833177000000,1716626893192000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1716626833177000000,1716626893192000000,0
workspaceModel.orphan.listener.update.ms,1716626833177000000,1716626893192000000,4
jps.global.handle.before.change.events.ms,1716626833177000000,1716626893192000000,0
